,model,link,price,depreciation,reg_date,mileage,road_tax,coe,eng_cap,curb_weight,manufactured,transmission,omv,power,num_owners,type,category
2235,Mercedes-Benz B-Class B180 Style,info.php?ID=946284&DL=2341,"$68,800 ","                                $11,700 /yrView models with similar depre ",02-Nov-2015(4yrs 10mths 16days COE left)                            ,"                                        43,000 km (8.4k /yr)                                     ",                                    	$740 /yr,"$57,498","1,595 cc                                    ","                                    1,425 kg                                    ",2015,Auto,"$26,023",90.0 kW (120 bhp),1,Hatchback,"Category
PARF Car, Low Mileage Car "
2236,BMW 7 Series 740Li Sunroof,info.php?ID=945803&DL=3350,"$228,988 ","                                $27,820 /yrView models with similar depre ",27-Dec-2016(6yrs 10days COE left)                            ,"                                        39,000 km (9.8k /yr)                                     ","                                    	$2,384 /yr","$53,001","2,998 cc                                    ","                                    1,770 kg                                    ",2016,Auto,"$83,558",240.0 kW (321 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
2237,Honda Civic Type R 2.0M (COE till 06/2030),info.php?ID=945556&DL=3471,"$107,800 ","                                $11,360 /yr                            ",12-Jun-2010(9yrs 5mths 26days COE left)                            ,                                        N.A.                                     ,"                                    	$1,331 /yr","$33,568","1,998 cc                                    ","                                    1,270 kg                                    ",2008,Manual,"$35,273",165.0 kW (221 bhp),5,Sports Car,"Category
COE Car "
2238,Hyundai Veloster 1.6A,info.php?ID=945385&DL=1155,"$48,000 ","                                $9,940 /yrView models with similar depre ",02-Jan-2015(4yrs 16days COE left)                            ,"                                        68,249 km (11.5k /yr)                                     ",                                    	$738 /yr,"$67,089","1,591 cc                                    ","                                    1,210 kg                                    ",2014,Auto,"$15,515",97.0 kW (130 bhp),1,Hatchback,"Category
PARF Car "
2239,Mercedes-Benz CLA-Class CLA180 AMG Line,info.php?ID=945357&DL=3405,"$128,000 ","                                $12,930 /yrView models with similar depre ",08-Apr-2019(8yrs 3mths 22days COE left)                            ,"                                        27,000 km (15.9k /yr)                                     ",                                    	$740 /yr,"$29,159","1,595 cc                                    ","                                    1,430 kg                                    ",2018,Auto,"$35,036",90.0 kW (120 bhp),2,Luxury Sedan,"Category
PARF Car "
2240,Hyundai i30 1.6A,info.php?ID=944726&DL=3471,"$58,800 ","                                $7,990 /yrView models with similar depre ",19-May-2017(6yrs 5mths 2days COE left)                            ,"                                        63,000 km (17.6k /yr)                                     ",                                    	$738 /yr,"$51,106","1,591 cc                                    ","                                    1,380 kg                                    ",2016,Auto,"$14,918",95.3 kW (127 bhp),1,Hatchback,"Category
PARF Car "
2241,Toyota Prado 2.7A TX Limited Sunroof (COE till 03/2027),info.php?ID=943814&DL=3471,"$59,800 ","                                $9,560 /yr                            ",19-Mar-2007(6yrs 3mths 2days COE left)                            ,"                                        160,000 km (11.6k /yr)                                     ","                                    	$2,836 /yr","$50,347","2,693 cc                                    ","                                    1,940 kg                                    ",2006,Auto,"$33,360",120.0 kW (160 bhp),3,SUV,"Category
COE Car "
2242,Honda Jazz 1.5A RS,info.php?ID=941878&DL=1213,"$70,800 ","                                $8,620 /yrView models with similar depre ",20-Mar-2018(7yrs 3mths 3days COE left)                            ,"                                        44,966 km (16.4k /yr)                                     ",                                    	$684 /yr,"$40,000","1,498 cc                                    ","                                    1,088 kg                                    ",2018,Auto,"$16,488",96.0 kW (128 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car "
2243,Hyundai Avante 1.6A GLS S,info.php?ID=941873&DL=1213,"$75,800 ","                                $8,090 /yrView models with similar depre ",03-Jun-2019(8yrs 5mths 17days COE left)                            ,"                                        13,173 km (8.6k /yr)                                     ",                                    	$738 /yr,"$27,000","1,591 cc                                    ","                                    1,345 kg                                    ",2019,Auto,"$14,706",93.8 kW (125 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
2244,MINI One 1.5A,info.php?ID=941200&DL=3350,"$101,988 ","                                $10,460 /yrView models with similar depre ",15-Nov-2019(8yrs 10mths 29days COE left)                            ,"                                        10,000 km (9.2k /yr)                                     ",                                    	$684 /yr,"$28,589","1,499 cc                                    ","                                    1,140 kg                                    ",2019,Auto,"$25,254",75.0 kW (100 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
2245,Mercedes-Benz E-Class E250 CGI,info.php?ID=940430&DL=2756,"$40,800 ",                                N.A.                            ,03-Jun-2011(5mths 17days COE left)                            ,                                        N.A.                                     ,                                    	$974 /yr,"$56,011","1,796 cc                                    ","                                    1,650 kg                                    ",2010,Auto,"$55,808",150.0 kW (201 bhp),2,Luxury Sedan,"Category
PARF Car "
2246,Nissan Sylphy 1.6A Premium,info.php?ID=939467&DL=1001,"$75,800 ","                                $8,190 /yrView models with similar depre ",12-Mar-2019(8yrs 2mths 23days COE left)                            ,"                                        13,219 km (7.5k /yr)                                     ",                                    	$742 /yr,"$26,309","1,598 cc                                    ","                                    1,205 kg                                    ",2019,Auto,"$16,713",85.0 kW (113 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
2247,Volkswagen Polo GP 1.2A TSI Sunroof,info.php?ID=938744&DL=1149,"$53,888 ","                                $8,430 /yrView models with similar depre ",30-Nov-2016(5yrs 11mths 13days COE left)                            ,"                                        59,876 km (14.8k /yr)                                     ",                                    	$508 /yr,"$50,951","1,197 cc                                    ","                                    1,139 kg                                    ",2015,Auto,"$17,316",66.0 kW (88 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car "
2248,Mercedes-Benz GLC-Class GLC250 4MATIC,info.php?ID=937294&DL=3126,"$137,388 ","                                $17,480 /yrView models with similar depre ",23-Mar-2017(6yrs 3mths 6days COE left)                            ,"                                        75,000 km (20.1k /yr)                                     ","                                    	$1,202 /yr","$53,001","1,991 cc                                    ","                                    1,735 kg                                    ",2016,Auto,"$45,473",155.0 kW (207 bhp),2,SUV,"Category
PARF Car "
2249,BMW 2 Series 216d Active Tourer,info.php?ID=934536&DL=3004,N.A ,                                N.A                            ,15-Nov-2017(6yrs 10mths 29days COE left)                            ,                                        N.A.                                     ,"                                    	$1,082 /yr","$47,112","1,496 cc                                    ","                                    1,395 kg                                    ",2017,Auto,"$29,628",85.0 kW (113 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car "
2250,Saab 9-3 Convertible 2.0T,info.php?ID=932708&DL=1050,"$44,800 ","                                $25,120 /yrView models with similar depre ",29-Sep-2011(9mths 12days COE left)                            ,                                        N.A.                                     ,"                                    	$1,210 /yr","$68,811","1,998 cc                                    ","                                    1,610 kg                                    ",2011,Auto,"$50,228",129.0 kW (172 bhp),3,Sports Car,"Category
PARF Car, Premium Ad Car "
2251,Nissan X-Trail 2.0A Premium 7-Seater Sunroof,info.php?ID=931728&DL=2050,"$85,800 ","                                $10,960 /yrView models with similar depre ",01-Aug-2017(6yrs 7mths 15days COE left)                            ,"                                        42,819 km (12.7k /yr)                                     ","                                    	$1,210 /yr","$47,501","1,997 cc                                    ","                                    1,626 kg                                    ",2017,Auto,"$24,596",106.0 kW (142 bhp),1,SUV,"Category
PARF Car "
2252,Suzuki Swift 1.5A (COE till 08/2024),info.php?ID=928824&DL=2408,N.A ,                                N.A                            ,28-Aug-2009(3yrs 8mths 11days COE left)                            ,                                        N.A.                                     ,                                    	$816 /yr,"$14,664","1,490 cc                                    ","                                    1,060 kg                                    ",2009,Auto,"$13,304",74.0 kW (99 bhp),4,Hatchback,"Category
COE Car "
2253,Kia Cerato Forte 1.6A SX (New 5-yr COE),info.php?ID=925547&DL=1050,"$34,300 ","                                $6,860 /yr                            ",18-Mar-2011(5yrs  COE left)                            ,                                        N.A.                                     ,                                    	$738 /yr,N.A.,"1,591 cc                                    ","                                    1,261 kg                                    ",2010,Auto,"$13,862",91.1 kW (122 bhp),3,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car "
2254,MINI One 1.6A,info.php?ID=905151&DL=2895,"$14,800 ",                                N.A.                            ,28-Dec-2010(11days COE left)                            ,"                                        125,000 km (12.5k /yr)                                     ",                                    	$742 /yr,"$44,831","1,598 cc                                    ","                                    1,100 kg                                    ",2010,Auto,"$18,481",72.0 kW (96 bhp),3,Hatchback,"Category
PARF Car "
2255,Ssangyong Tivoli 1.6A,info.php?ID=898809&DL=1094,"$50,800 ","                                $8,430 /yrView models with similar depre ",27-Oct-2015(4yrs 10mths 10days COE left)                            ,"                                        64,189 km (12.5k /yr)                                     ",                                    	$742 /yr,"$57,301","1,597 cc                                    ","                                    1,300 kg                                    ",2015,Auto,"$19,638",94.1 kW (126 bhp),1,SUV,"Category
PARF Car "
2256,BMW 5 Series 520i Luxury,info.php?ID=952204&DL=3395,"$87,800 ","                                $15,810 /yrView models with similar depre ",25-Nov-2014(3yrs 11mths 8days COE left)                            ,"                                        62,742 km (10.3k /yr)                                     ","                                    	$1,210 /yr","$72,890","1,997 cc                                    ","                                    1,615 kg                                    ",2013,Auto,"$45,685",135.0 kW (181 bhp),1,Luxury Sedan,"Category
PARF Car "
2257,Toyota Harrier 2.0A Premium Panoramic,info.php?ID=952203&DL=2429,"$78,800 ","                                $12,900 /yrView models with similar depre ",14-Dec-2015(4yrs 11mths 27days COE left)                            ,"                                        63,000 km (12.6k /yr)                                     ","                                    	$1,196 /yr","$61,010","1,986 cc                                    ","                                    1,610 kg                                    ",2015,Auto,"$29,787",111.0 kW (148 bhp),1,SUV,"Category
PARF Car "
2258,BMW 2 Series 216d Gran Tourer Luxury,info.php?ID=952202&DL=2052,"$78,000 ","                                $11,860 /yrView models with similar depre ",20-Jun-2016(5yrs 6mths 3days COE left)                            ,"                                        95,000 km (21.1k /yr)                                     ","                                    	$1,082 /yr","$53,694","1,496 cc                                    ","                                    1,480 kg                                    ",2016,Auto,"$30,926",85.0 kW (113 bhp),1,MPV,"Category
PARF Car "
2259,Mercedes-Benz E-Class E220d,info.php?ID=952200&DL=2239,"$121,800 ","                                $16,830 /yrView models with similar depre ",08-Dec-2016(5yrs 11mths 21days COE left)                            ,"                                        112,000 km (27.8k /yr)                                     ","                                    	$1,734 /yr","$53,001","1,950 cc                                    ","                                    1,700 kg                                    ",2016,Auto,"$46,664",143.0 kW (191 bhp),2,Luxury Sedan,"Category
PARF Car "
2260,Ferrari 488 GTB,info.php?ID=951270&DL=3350,"$739,988 ","                                $79,710 /yrView models with similar depre ",29-Apr-2017(6yrs 4mths 12days COE left)                            ,"                                        14,000 km (3.9k /yr)                                     ","                                    	$3,796 /yr","$53,300","3,902 cc                                    ","                                    1,515 kg                                    ",2017,Auto,"$273,873",493.0 kW (661 bhp),1,Sports Car,"Category
PARF Car, Rare & Exotic, Premium Ad Car, Low Mileage Car "
2261,Toyota Corolla Altis 1.6A (COE till 11/2025),info.php?ID=951226&DL=1194,"$32,800 ","                                $6,690 /yr                            ",10-Nov-2010(4yrs 10mths 24days COE left)                            ,                                        N.A.                                     ,                                    	$816 /yr,"$18,238","1,598 cc                                    ","                                    1,195 kg                                    ",2010,Auto,"$16,286",90.0 kW (120 bhp),5,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car "
2262,Volkswagen Scirocco 1.4A TSI (New 10-yr COE),info.php?ID=951193&DL=2049,"$59,800 ","                                $5,980 /yr                            ",14-Dec-2010(10yrs  COE left)                            ,"                                        72,000 km (7.2k /yr)                                     ",                                    	$620 /yr,N.A.,"1,390 cc                                    ","                                    1,285 kg                                    ",2010,Auto,"$24,809",118.0 kW (158 bhp),1,Sports Car,"Category
COE Car, Premium Ad Car, Low Mileage Car "
2263,Kia Sorento 2.4A GDi Sunroof,info.php?ID=951152&DL=2940,"$64,800 ","                                $12,710 /yrView models with similar depre ",14-Oct-2014(3yrs 9mths 27days COE left)                            ,"                                        116,000 km (18.8k /yr)                                     ","                                    	$1,634 /yr","$65,002","2,359 cc                                    ","                                    1,765 kg                                    ",2014,Auto,"$28,797",141.0 kW (189 bhp),1,SUV,"Category
PARF Car "
2264,Mercedes-Benz C-Class C180 Avantgarde,info.php?ID=951089&DL=2341,"$96,800 ","                                $15,110 /yrView models with similar depre ",22-Feb-2016(5yrs 2mths 5days COE left)                            ,"                                        79,000 km (16.4k /yr)                                     ",                                    	$740 /yr,"$59,889","1,595 cc                                    ","                                    1,425 kg                                    ",2015,Auto,"$35,590",115.0 kW (154 bhp),1,Luxury Sedan,"Category
PARF Car "
2265,Toyota Estima 2.4A Aeras Moonroof,info.php?ID=950771&DL=1001,"$51,800 ","                                $13,870 /yrView models with similar depre ",10-Apr-2013(2yrs 3mths 24days COE left)                            ,"                                        121,090 km (15.7k /yr)                                     ","                                    	$1,638 /yr","$65,001","2,362 cc                                    ","                                    1,790 kg                                    ",2013,Auto,"$33,897",125.0 kW (167 bhp),2,MPV,"Category
PARF Car, Premium Ad Car "
2266,Jaguar XF 3.0A Luxury,info.php?ID=950706&DL=2996,"$47,800 ","                                $17,060 /yrView models with similar depre ",27-Feb-2012(1yr 2mths 10days COE left)                            ,"                                        85,000 km (9.7k /yr)                                     ","                                    	$2,348 /yr","$67,101","2,967 cc                                    ","                                    1,735 kg                                    ",2011,Auto,"$54,755",175.0 kW (234 bhp),2,Luxury Sedan,"Category
PARF Car, Low Mileage Car "
2267,Renault Fluence Diesel 1.5A dCi Sunroof,info.php?ID=950432&DL=2996,"$45,800 ","                                $7,390 /yrView models with similar depre ",30-Jun-2016(5yrs 6mths 13days COE left)                            ,"                                        90,000 km (20.2k /yr)                                     ","                                    	$1,048 /yr","$55,200","1,461 cc                                    ","                                    1,314 kg                                    ",2016,Auto,"$19,750",81.0 kW (108 bhp),1,Mid-Sized Sedan,"Category
PARF Car "
2268,BMW 3 Series 320i (COE till 12/2028),info.php?ID=950298&DL=3723,"$51,800 ","                                $6,440 /yr                            ",30-Dec-2008(8yrs 13days COE left)                            ,"                                        108,000 km (9k /yr)                                     ","                                    	$1,450 /yr","$31,553","1,995 cc                                    ","                                    1,390 kg                                    ",2008,Auto,"$41,648",115.0 kW (154 bhp),4,Luxury Sedan,"Category
COE Car, Low Mileage Car "
2269,Subaru Exiga 2.0A GT Moonroof (COE till 11/2023),info.php?ID=949730&DL=2191,"$28,888 ","                                $9,770 /yr                            ",01-Dec-2008(2yrs 11mths 14days COE left)                            ,                                        N.A.                                     ,"                                    	$1,447 /yr","$16,061","1,994 cc                                    ","                                    1,590 kg                                    ",2008,Auto,"$33,878",165.0 kW (221 bhp),2,MPV,"Category
COE Car "
2270,Honda Shuttle 1.5A G Honda Sensing,info.php?ID=949082&DL=3656,"$83,988 ","                                $8,110 /yrView models with similar depre ",17-Jul-2020(9yrs 7mths  COE left)                            ,"                                        6,100 km                                     ",                                    	$682 /yr,"$33,520","1,496 cc                                    ","                                    1,130 kg                                    ",2019,Auto,"$21,714",95.0 kW (127 bhp),1,Stationwagon,"Category
PARF Car, Almost New Car, Premium Ad Car "
2271,BMW 7 Series 730Li Sunroof (New 10-yr COE),info.php?ID=948057&DL=3382,"$91,998 ","                                $9,190 /yr                            ",03-Dec-2010(10yrs  COE left)                            ,"                                        99,083 km (9.9k /yr)                                     ","                                    	$2,382 /yr",N.A.,"2,996 cc                                    ","                                    1,855 kg                                    ",2010,Auto,"$70,255",190.0 kW (254 bhp),1,Luxury Sedan,"Category
COE Car, Low Mileage Car "
2272,Mazda 3 1.5A Deluxe,info.php?ID=947975&DL=1149,"$67,888 ","                                $8,730 /yrView models with similar depre ",13-Dec-2017(6yrs 11mths 26days COE left)                            ,"                                        23,668 km (7.9k /yr)                                     ",                                    	$682 /yr,"$47,112","1,496 cc                                    ","                                    1,331 kg                                    ",2017,Auto,"$18,686",88.0 kW (118 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
2273,Honda Jazz 1.5M L Skyroof (COE till 11/2023),info.php?ID=947365&DL=2469,"$21,800 ","                                $7,490 /yr                            ",14-Nov-2008(2yrs 10mths 28days COE left)                            ,"                                        157,000 km (13k /yr)                                     ",                                    	$889 /yr,"$14,835","1,497 cc                                    ","                                    1,115 kg                                    ",2008,Manual,"$20,820",88.0 kW (118 bhp),4,Hatchback,"Category
COE Car "
2274,Mercedes-Benz CLA-Class CLA180,info.php?ID=947323&DL=2341,"$83,800 ","                                $14,560 /yrView models with similar depre ",23-Oct-2015(4yrs 10mths 6days COE left)                            ,"                                        75,000 km (14.6k /yr)                                     ",                                    	$740 /yr,"$55,889","1,595 cc                                    ","                                    1,430 kg                                    ",2015,Auto,"$28,107",90.0 kW (120 bhp),1,Luxury Sedan,"Category
PARF Car "
2275,Kia Cerato K3 1.6A SX Sunroof,info.php?ID=946923&DL=1001,"$61,800 ","                                $8,260 /yrView models with similar depre ",21-Jun-2017(6yrs 6mths 4days COE left)                            ,"                                        56,463 km (16.2k /yr)                                     ",                                    	$738 /yr,"$46,489","1,591 cc                                    ","                                    1,295 kg                                    ",2017,Auto,"$15,971",95.3 kW (127 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Premium Ad Car "
2276,Volkswagen Golf GTI 5DR Sunroof,info.php?ID=946585&DL=1400,"$129,800 ","                                $13,640 /yrView models with similar depre ",29-Dec-2018(8yrs 12days COE left)                            ,"                                        32,000 km (16.3k /yr)                                     ","                                    	$1,194 /yr","$31,001","1,984 cc                                    ","                                    1,408 kg                                    ",2018,Auto,"$34,519",169.0 kW (226 bhp),2,Sports Car,"Category
PARF Car, Premium Ad Car "
2277,Mercedes-Benz C-Class C200 Avantgarde,info.php?ID=946258&DL=3405,"$98,800 ","                                $16,530 /yrView models with similar depre ",23-Nov-2015(4yrs 11mths 6days COE left)                            ,"                                        54,000 km (10.7k /yr)                                     ","                                    	$1,202 /yr","$58,109","1,991 cc                                    ","                                    1,465 kg                                    ",2014,Auto,"$33,812",135.0 kW (181 bhp),1,Luxury Sedan,"Category
PARF Car "
2278,Toyota Premio 1.5A F (COE till 01/2025),info.php?ID=946041&DL=1198,"$28,800 ","                                $6,980 /yr                            ",05-Feb-2010(4yrs 1mth 15days COE left)                            ,"                                        176,655 km (16.3k /yr)                                     ",                                    	$750 /yr,"$16,184","1,496 cc                                    ","                                    1,200 kg                                    ",2008,Auto,"$18,642",81.0 kW (108 bhp),3,Mid-Sized Sedan,"Category
COE Car, Premium Ad Car "
2279,Audi A6 1.8A TFSI Ultra S-tronic,info.php?ID=945800&DL=1418,"$105,800 ","                                $13,970 /yrView models with similar depre ",22-Dec-2016(6yrs 5days COE left)                            ,"                                        71,000 km (17.8k /yr)                                     ",                                    	$976 /yr,"$51,109","1,798 cc                                    ","                                    1,645 kg                                    ",2016,Auto,"$40,386",140.0 kW (187 bhp),1,Luxury Sedan,"Category
PARF Car "
2280,Honda Jazz 1.3A,info.php?ID=945449&DL=3283,"$66,800 ","                                $7,670 /yrView models with similar depre ",17-Apr-2019(8yrs 4mths  COE left)                            ,"                                        18,000 km (10.8k /yr)                                     ",                                    	$578 /yr,"$25,689","1,318 cc                                    ","                                    1,052 kg                                    ",2019,Auto,"$15,727",73.0 kW (97 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car "
2281,Honda Odyssey 2.4A EXV-S Sunroof,info.php?ID=945177&DL=1001,"$120,800 ","                                $12,810 /yrView models with similar depre ",03-Jan-2019(8yrs 17days COE left)                            ,"                                        19,253 km (9.9k /yr)                                     ","                                    	$1,630 /yr","$31,101","2,356 cc                                    ","                                    1,858 kg                                    ",2018,Auto,"$30,876",129.0 kW (172 bhp),1,MPV,"Category
PARF Car, Premium Ad Car "
2282,Kia Cerato Forte 1.6A EX,info.php?ID=944662&DL=1213,"$64,800 ","                                $8,100 /yrView models with similar depre ",02-Apr-2018(7yrs 3mths 16days COE left)                            ,"                                        46,611 km (17.2k /yr)                                     ",                                    	$738 /yr,"$38,830","1,591 cc                                    ","                                    1,295 kg                                    ",2017,Auto,"$11,477",95.3 kW (127 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Premium Ad Car "
2283,Hyundai Elantra 1.6A GLS S,info.php?ID=944622&DL=1155,"$64,800 ","                                $7,510 /yrView models with similar depre ",01-Oct-2018(7yrs 9mths 14days COE left)                            ,"                                        49,800 km (22.5k /yr)                                     ",                                    	$738 /yr,"$30,209","1,591 cc                                    ","                                    1,345 kg                                    ",2018,Auto,"$12,572",93.8 kW (125 bhp),1,Mid-Sized Sedan,"Category
PARF Car "
2284,Audi A5 Sportback 2.0A TFSI S-tronic Design,info.php?ID=942717&DL=1091,"$123,800 ","                                $15,310 /yrView models with similar depre ",29-Aug-2017(6yrs 8mths 12days COE left)                            ,"                                        51,200 km (15.5k /yr)                                     ","                                    	$1,194 /yr","$51,000","1,984 cc                                    ","                                    1,535 kg                                    ",2017,Auto,"$39,560",140.0 kW (187 bhp),2,Luxury Sedan,"Category
PARF Car, Premium Ad Car "
2285,Mazda 3 HB 1.5A Sunroof,info.php?ID=942378&DL=1135,"$75,800 ","                                $8,410 /yrView models with similar depre ",28-Dec-2018(8yrs 11days COE left)                            ,"                                        30,000 km (15.2k /yr)                                     ",                                    	$682 /yr,"$25,501","1,496 cc                                    ","                                    1,329 kg                                    ",2018,Auto,"$16,506",88.0 kW (118 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car "
2286,Toyota Vios 1.5A E,info.php?ID=941846&DL=1094,"$49,800 ","                                $7,980 /yrView models with similar depre ",04-May-2016(5yrs 4mths 17days COE left)                            ,"                                        62,623 km (13.5k /yr)                                     ",                                    	$684 /yr,"$45,504","1,497 cc                                    ","                                    1,045 kg                                    ",2015,Auto,"$13,764",80.0 kW (107 bhp),2,Mid-Sized Sedan,"Category
PARF Car "
2287,Honda Civic 1.6A VTi,info.php?ID=940382&DL=3287,"$84,200 ","                                $9,300 /yrView models with similar depre ",07-Dec-2018(7yrs 11mths 20days COE left)                            ,"                                        35,000 km (17.3k /yr)                                     ",                                    	$742 /yr,"$28,199","1,597 cc                                    ","                                    1,249 kg                                    ",2018,Auto,"$19,964",92.0 kW (123 bhp),1,Mid-Sized Sedan,"Category
PARF Car "
2288,BMW 3 Series 318i Sunroof (New 10-yr COE),info.php?ID=939285&DL=3283,"$60,800 ","                                $6,080 /yr                            ",23-Dec-2010(10yrs  COE left)                            ,"                                        75,000 km (7.5k /yr)                                     ","                                    	$1,208 /yr",N.A.,"1,995 cc                                    ","                                    1,390 kg                                    ",2010,Auto,"$28,397",100.0 kW (134 bhp),1,Luxury Sedan,"Category
COE Car, Premium Ad Car, Low Mileage Car "
2289,Porsche Cayenne Turbo 4.5A (COE till 09/2028),info.php?ID=935966&DL=3654,N.A ,                                N.A                            ,12-Sep-2008(7yrs 8mths 15days COE left)                            ,                                        N.A.                                     ,"                                    	$6,175 /yr","$34,991","4,511 cc                                    ","                                    2,355 kg                                    ",2005,Auto,"$49,959",331.0 kW (443 bhp),4,SUV,"Category
Imported Used Vehicle, COE Car, Low Mileage Car "
2290,Suzuki Swift Sport 1.6M (COE till 07/2027),info.php?ID=935178&DL=2291,"$41,800 ","                                $6,330 /yr                            ",23-Jul-2007(6yrs 7mths 6days COE left)                            ,"                                        151,000 km (11.3k /yr)                                     ","                                    	$1,030 /yr","$48,200","1,586 cc                                    ","                                    1,060 kg                                    ",2007,Manual,"$11,124",92.0 kW (123 bhp),6,Hatchback,"Category
COE Car, Premium Ad Car "
2291,Mazda 6 2.0A Executive,info.php?ID=933831&DL=1213,N.A ,                                N.A                            ,27-Sep-2018(7yrs 9mths 10days COE left)                            ,                                        N.A.                                     ,"                                    	$1,210 /yr","$32,429","1,998 cc                                    ","                                    1,515 kg                                    ",2018,Auto,"$22,552",121.0 kW (162 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car "
2292,Nissan Teana 2.0A XL,info.php?ID=932691&DL=1001,"$73,800 ","                                $9,740 /yrView models with similar depre ",11-Mar-2017(6yrs 2mths 22days COE left)                            ,"                                        14,452 km (3.8k /yr)                                     ","                                    	$1,210 /yr","$52,807","1,997 cc                                    ","                                    1,470 kg                                    ",2017,Auto,"$24,381",100.0 kW (134 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
2293,Hyundai Veloster 1.6A,info.php?ID=931083&DL=3287,"$72,300 ","                                $9,900 /yrView models with similar depre ",24-May-2017(6yrs 5mths 7days COE left)                            ,"                                        40,000 km (11.2k /yr)                                     ",                                    	$738 /yr,"$51,600","1,591 cc                                    ","                                    1,295 kg                                    ",2017,Auto,"$17,140",97.0 kW (130 bhp),1,Hatchback,"Category
PARF Car "
2294,Toyota Corolla Altis 1.6A Elegance (New 5-yr COE),info.php?ID=930656&DL=2469,"$37,800 ","                                $7,560 /yr                            ",26-Oct-2010(5yrs  COE left)                            ,"                                        86,000 km (8.5k /yr)                                     ",                                    	$816 /yr,N.A.,"1,598 cc                                    ","                                    1,195 kg                                    ",2010,Auto,"$16,286",90.0 kW (120 bhp),3,Mid-Sized Sedan,"Category
COE Car, Low Mileage Car "
2295,Suzuki Grand Vitara 2.0A (COE till 08/2023),info.php?ID=927905&DL=3654,"$20,800 ","                                $7,730 /yr                            ",26-Aug-2008(2yrs 8mths 9days COE left)                            ,"                                        213,000 km (17.3k /yr)                                     ","                                    	$1,570 /yr","$17,496","1,995 cc                                    ","                                    1,475 kg                                    ",2008,Auto,"$16,091",103.0 kW (138 bhp),5,SUV,"Category
COE Car "
2296,Audi Q5 2.0A TFSI Quattro S-tronic Sport,info.php?ID=927900&DL=2996,"$153,800 ","                                $16,690 /yrView models with similar depre ",11-Jul-2018(7yrs 6mths 24days COE left)                            ,"                                        72,000 km (29.6k /yr)                                     ","                                    	$1,194 /yr","$31,000","1,984 cc                                    ","                                    1,795 kg                                    ",2018,Auto,"$44,974",185.0 kW (248 bhp),1,SUV,"Category
PARF Car "
2297,Toyota Vellfire 2.5A Z,info.php?ID=926582&DL=1213,N.A ,                                N.A                            ,22-Jun-2018(7yrs 6mths 5days COE left)                            ,                                        N.A.                                     ,"                                    	$1,792 /yr","$42,661","2,493 cc                                    ","                                    1,980 kg                                    ",2018,Auto,"$42,695",134.0 kW (179 bhp),1,MPV,"Category
PARF Car, Premium Ad Car "
2298,Toyota Alphard 2.4A (COE till 08/2030),info.php?ID=925751&DL=2291,"$73,800 ","                                $7,610 /yr                            ",25-Aug-2010(9yrs 8mths 8days COE left)                            ,"                                        150,356 km (14.6k /yr)                                     ","                                    	$1,802 /yr","$32,914","2,362 cc                                    ","                                    1,920 kg                                    ",2010,Auto,"$44,006",125.0 kW (167 bhp),4,MPV,"Category
COE Car, Premium Ad Car "
2299,Land Rover Freelander 2 Si4 XS,info.php?ID=920685&DL=2404,"$85,800 ","                                $14,810 /yrView models with similar depre ",26-Dec-2014(4yrs 9days COE left)                            ,"                                        59,000 km (9.9k /yr)                                     ","                                    	$1,212 /yr","$74,000","1,999 cc                                    ","                                    1,815 kg                                    ",2014,Auto,"$43,105",177.0 kW (237 bhp),1,SUV,"Category
PARF Car, Low Mileage Car "
2300,Volkswagen Scirocco 1.4A TSI (COE till 06/2030),info.php?ID=912923&DL=2895,"$62,800 ","                                $6,600 /yr                            ",21-Jun-2010(9yrs 6mths 4days COE left)                            ,"                                        35,800 km (3.4k /yr)                                     ",                                    	$682 /yr,"$32,875","1,390 cc                                    ","                                    1,285 kg                                    ",2010,Auto,"$24,386",118.0 kW (158 bhp),1,Sports Car,"Category
COE Car, Low Mileage Car "
2301,BMW X1 sDrive20i M-Sport,info.php?ID=857634&DL=2349,"$147,800 ","                                $14,770 /yrView models with similar depre ",18-Apr-2019(8yrs 4mths 1day COE left)                            ,"                                        12,000 km (7.2k /yr)                                     ","                                    	$1,210 /yr","$41,000","1,998 cc                                    ","                                    1,480 kg                                    ",2019,Auto,"$40,863",141.0 kW (189 bhp),1,SUV,"Category
PARF Car, Premium Ad Car, Low Mileage Car "
